=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-2-23_15-22-6
====================================================================================
15:22:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7305.490723, 9.639998, 15192.493164>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.953125, 9.639980, 15192.565430>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.494141, 9.639983, 15192.622070>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.083984, 9.639985, 15192.666992>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.127930, 9.639985, 15192.650391>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.171875, 9.639985, 15192.633789>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.214844, 9.639984, 15192.618164>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.259277, 9.639984, 15192.603516>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.295410, 9.639983, 15192.591797>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.326172, 9.639984, 15192.583008>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.354980, 9.639983, 15192.575195>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.376465, 9.639985, 15192.570313>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.392090, 9.639984, 15192.568359>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.401367, 9.639984, 15192.569336>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.405273, 9.639983, 15192.571289>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.406250, 9.639983, 15192.574219>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.403809, 9.639983, 15192.580078>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.399902, 9.639985, 15192.584961>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.395996, 9.639983, 15192.587891>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.391113, 9.639982, 15192.591797>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.388672, 9.639982, 15192.594727>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.386719, 9.639982, 15192.595703>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.385254, 9.639984, 15192.594727>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.384277, 9.639984, 15192.595703>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.383301, 9.639983, 15192.596680>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.382324, 9.639984, 15192.597656>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.380859, 9.639983, 15192.597656>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.379883, 9.639983, 15192.597656>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.379395, 9.639983, 15192.597656>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.378906, 9.639983, 15192.598633>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.378418, 9.639983, 15192.598633>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.378906, 9.639984, 15192.598633>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.378906, 9.639984, 15192.598633>)
16:2:9 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.379395, 9.639983, 15192.598633>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.380371, 9.639983, 15192.598633>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.380859, 9.639982, 15192.599609>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.380859, 9.639984, 15192.599609>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.381348, 9.639982, 15192.599609>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.558105, 9.184910, 15192.067383>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.560547, 9.182721, 15192.066406>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.570801, 9.183043, 15192.061523>)
16:2:10 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.671387, 9.087914, 15192.037109>)
16:2:11 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7304.818848, 2.162687, 15191.912109>)
16:2:11 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7305.122070, 3.238787, 15191.834961>)
16:2:11 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7305.423340, 3.894113, 15191.686523>)
16:2:11 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7305.720703, 5.009554, 15191.524414>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7306.059570, 4.008763, 15191.457031>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7306.417480, 4.856558, 15191.424805>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7306.791504, 5.640144, 15191.378906>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7307.177734, 5.663357, 15191.264648>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7307.561035, 6.373699, 15191.120117>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7307.946777, 6.569787, 15190.971680>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7308.354980, 7.190341, 15190.880859>)
16:2:12 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7308.781250, 7.591365, 15190.829102>)
16:2:13 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7309.216309, 7.218337, 15190.774414>)
16:2:13 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7309.665039, 7.189243, 15190.648438>)
16:2:13 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7310.110840, 6.978754, 15190.483398>)
16:2:13 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<7310.561523, 6.454952, 15190.329102>)
16:3:30 | "Barba_Imersivo" (steamid=76561197994877771) toggled freecam
16:4:2 | "Barba_Imersivo" (steamid=76561197994877771) teleported to crosshair (pos=<3909.081055, 15.422384, 5545.241211>)
16:4:8 | "Barba_Imersivo" (steamid=76561197994877771) toggled freecam
16:7:6 | Player "Barba_Imersivo" (steamId=76561197994877771) initiated disconnect process...
16:7:7 | Player "Barba_Imersivo" (steamId=76561197994877771) initiated disconnect process...
